Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-07-14,Doctor Who,1996,https://boxd.it/31cz1Z,5,,,2018-08-19
2022-07-14,The Office,1966,https://boxd.it/31cz1b,,,,2020-04-04
2022-07-14,Prison Break,1938,https://boxd.it/31cz2t,4,,,2020-07-20
2023-07-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/4sfgab,3,Yes,,2023-07-01
2023-07-02,Thou Gild'st the Even,2013,https://boxd.it/4sfqal,,Yes,,2023-07-02
2024-01-15,Maestro,2023,https://boxd.it/5AZoCp,4,,,2024-01-15
2024-01-19,Celal and Ceren,2013,https://boxd.it/5CRnPJ,,Yes,,2024-01-18
